Pulse heights for the following Vcal values:
Low range:  50 100 150 200 250 
High range:  30  50  70  90 200 

 -375  -299  -218  -123   -18   -98   213   480   605   N/A    Pix  0  0
 -369  -292  -208  -110    -7   -87   242   500   612   668    Pix  0  1
 -400  -325  -242  -149   -47  -122   200   479   605   656    Pix  0  2
 -359  -283  -194  -102     4   -80   246   511   616   671    Pix  0  3
 -385  -306  -220  -122   -20   -97   215   485   609   668    Pix  0  4
 -375  -298  -207  -110     0   -80   248   503   613   667    Pix  0  5
 -394  -314  -235  -145   -37  -120   206   478   609   672    Pix  0  6
 -372  -290  -196  -104     6   -73   263   518   624   671    Pix  0  7
 -375  -299  -215  -123   -22  -103   218   486   606   668    Pix  0  8
 -373  -298  -212  -113   -10   -87   224   486   602   662    Pix  0  9
 -387  -314  -226  -133   -34  -107   204   477   595   661    Pix  0 10
 -391  -320  -232  -138   -40  -119   196   459   591   655    Pix  0 11
 -384  -306  -222  -122   -16  -102   228   485   605   665    Pix  0 12
 -376  -294  -200  -105    -4   -84   240   494   608   662    Pix  0 13
 -379  -302  -220  -132   -30  -108   201   471   597   661    Pix  0 14
 -373  -298  -213  -117   -17   -96   224   484   601   663    Pix  0 15
 -376  -300  -208  -115   -12   -94   222   483   599   660    Pix  0 16
 -374  -296  -212  -116    -8   -91   221   476   596   657    Pix  0 17
 -403  -327  -236  -142   -43  -116   210   473   600   663    Pix  0 18
 -388  -307  -218  -125   -21  -100   224   486   599   663    Pix  0 19
 -378  -302  -216  -120   -16   -97   224   487   598   660    Pix  0 20
 -399  -323  -241  -151   -48  -129   187   455   590   663    Pix  0 21
 -400  -329  -250  -160   -64  -139   168   439   584   660    Pix  0 22
 -387  -311  -223  -126   -26  -106   213   476   593   659    Pix  0 23
 -410  -336  -257  -170   -72  -150   169   440   588   663    Pix  0 24
 -401  -328  -244  -151   -48  -127   187   460   591   659    Pix  0 25
 -402  -326  -240  -148   -39  -119   199   461   592   660    Pix  0 26
 -392  -313  -229  -138   -37  -112   198   466   592   662    Pix  0 27
 -408  -331  -254  -165   -67  -140   171   438   578   658    Pix  0 28
 -369  -291  -200  -110    -9   -87   226   474   595   658    Pix  0 29
 -387  -310  -217  -131   -27  -102   211   472   593   665    Pix  0 30
 -382  -308  -219  -134   -35  -110   202   461   590   665    Pix  0 31
 -386  -310  -217  -122   -20  -101   210   472   592   660    Pix  0 32
 -388  -312  -223  -132   -32  -108   206   468   594   660    Pix  0 33
 -411  -344  -263  -179   -80  -155   148   422   567   656    Pix  0 34
 -383  -306  -216  -127   -29  -104   212   464   587   654    Pix  0 35
 -432  -358  -281  -197  -106  -178   119   394   560   658    Pix  0 36
 -399  -324  -240  -154   -55  -124   178   446   581   658    Pix  0 37
 -400  -325  -238  -141   -46  -118   187   449   582   656    Pix  0 38
 -400  -323  -238  -150   -52  -127   179   448   580   660    Pix  0 39
 -416  -344  -264  -176   -74  -149   148   421   571   657    Pix  0 40
 -410  -335  -242  -152   -52  -134   180   451   584   656    Pix  0 41
 -382  -303  -214  -126   -22  -102   218   476   599   666    Pix  0 42
 -398  -322  -230  -142   -44  -120   196   455   588   664    Pix  0 43
 -388  -315  -227  -138   -32  -114   202   461   590   660    Pix  0 44
 -414  -340  -258  -170   -70  -144   158   426   573   657    Pix  0 45
 -407  -330  -247  -158   -63  -137   166   433   574   656    Pix  0 46
 -390  -312  -230  -137   -34  -107   202   462   584   653    Pix  0 47
 -403  -328  -244  -152   -53  -130   169   442   582   663    Pix  0 48
 -401  -330  -241  -143   -46  -120   188   453   587   658    Pix  0 49
 -408  -334  -253  -160   -60  -136   174   434   576   656    Pix  0 50
 -412  -338  -260  -172   -76  -149   158   426   573   656    Pix  0 51
 -420  -352  -269  -191   -93  -172   127   391   556   653    Pix  0 52
 -413  -341  -264  -172   -80  -147   159   426   569   654    Pix  0 53
 -397  -322  -238  -150   -52  -126   182   449   582   661    Pix  0 54
 -410  -336  -250  -157   -58  -134   179   444   580   656    Pix  0 55
 -399  -328  -249  -166   -68  -137   153   418   564   652    Pix  0 56
 -406  -336  -253  -165   -71  -145   156   424   574   662    Pix  0 57
 -406  -330  -246  -156   -60  -132   176   441   578   654    Pix  0 58
 -392  -318  -227  -133   -39  -114   201   457   584   655    Pix  0 59
 -415  -342  -264  -178   -85  -157   145   414   570   661    Pix  0 60
 -437  -364  -284  -191   -93  -174   142   416   568   656    Pix  0 61
 -398  -324  -237  -145   -52  -122   184   448   580   656    Pix  0 62
 -425  -350  -266  -178   -76  -155   156   431   572   657    Pix  0 63
 -434  -362  -276  -191   -98  -172   133   406   565   652    Pix  0 64
 -395  -319  -239  -146   -47  -120   184   447   577   652    Pix  0 65
 -410  -337  -252  -161   -64  -142   163   436   574   663    Pix  0 66
 -389  -313  -224  -130   -27  -103   206   468   590   662    Pix  0 67
 -407  -327  -243  -150   -47  -126   185   446   579   652    Pix  0 68
 -408  -332  -246  -161   -62  -138   166   434   574   659    Pix  0 69
 -415  -342  -252  -163   -71  -147   161   429   574   657    Pix  0 70
 -440  -368  -286  -208  -106  -184   116   388   552   648    Pix  0 71
 -418  -349  -265  -184   -84  -160   138   404   568   660    Pix  0 72
 -428  -359  -276  -186   -87  -167   139   417   572   657    Pix  0 73
 -416  -348  -263  -180   -84  -160   138   405   562   652    Pix  0 74
 -420  -346  -266  -177   -84  -154   148   419   568   660    Pix  0 75
 -421  -352  -271  -182   -94  -160   135   409   564   657    Pix  0 76
 -426  -354  -277  -191   -99  -170   125   395   557   651    Pix  0 77
