Mode 1
32  69  12  13  11  12  13   7  11   9  14   7  14   6   9  11  15  15  11   8  11  14   8  16   9  14  10  10  11  13  13  15  18  13 
32 164   5   8   7   6   5   3   3   4   2   2   2   4   7   1   4   0   2   5   3   6   5   4   6   0   3   5   3   2   4   4   6   4 
16 239   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
32  16  12  13  12   5  13  10  10  14  14  14  12  10  15  14  15  21  18  24  16  20  19  21  19  15  20  18  22  14  19  24  28  26 
32  19   9   8  14   5  10  10  13   9  14  10  12  17  16  10  20  17  20  16  13  23  12  14  17  23  20  23  15  26  19  21  21  26 
16 239   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
32  30  16  19  10  13  17  16  10  15  20  22  16  21  17  23  22  25  21  23  17  22  20  18  27  28  23  24  28  26  25  21  28  30 
32  39  13  16  20  20  24  22  23  25  24  24  21  25  18  22  18  27  33  26  19  21  23  25  23  28  27  26  25  20  29  25  30  22 
32   2   1   4   3   3   1   1   1   3   5   5   1   3   5   7   9   5   5   5   7   7   8  11   8   8   3   8  12  10  11  12  17  18 
32  32  12  13  22  13  15  19  18  27  20  20  20  17  15  19  25  20  23  18  21  23  21  19  18  26  21  26  31  24  25  21  18  29 
32  18   9   8   7  11  13   8  12   6   7  18  14  16  17  19  14  17  19  14  16  22  19  15  19  22  25  18  18  17  23  30  27  31 
32  16   5   9   4   9   5  12   5   9   8  10   6  11   8  15  13  13  16  16  16  19  19  23  19  30  29  21  22  23  29  25  26  27 
16 239   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
32 104   8  13   9  11  12   9  18  11  10  15  10   8   9   9   8   9  18   8  14  12  11   8  10  11   8  13  15  15  11  14  11  17 
32  40  14  16  14   8  11  21  15  12  11  13  18  16  20  13  16  17  20  16  15  17  14  22  15  16  19  20  21  20  12  18  20  13 
32   6   3   1   1   3   1   1   3  10  11   4   7   7   3  12   6  15   8  11   8  13  13  17  14  17  21  14  23  19  11  22  25  19 
32  76  15  11  11  10  12  10  15  20  17   8  17  13  21   8  13  11  15   9  17  11  12  12  13  14  14  12  12  20  18  18  15   9 
16 239   5   7  11   9  12   7   8   7  10   7  10   4   8  10   7  13 
32  38  15  11   8  13  10  17  16  14  17  19  17  16  24  19  27  21  25  26  27  27  28  39  29  28  34  35  33  36  37  40  39  37 
32  29  18  19  14  15  17  16  18  17  21  22  23  25  21  21  19  21  31  26  32  29  30  38  32  33  32  33  34  36  35  37  37  37 
32  37  10  13  13  15  13  12  19  20  16  14  17  22  19  25  19  22  25  22  21  29  33  27  37  26  26  31  34  40  34  42  41  43 
