Mode 1
32 200   0   0   0   0   0   0   1   1   1   1   1   1   3   6   5   4   8   3   9  14   9  11  10  14  20  25  30  27  31  32  28  40 
32 129   2   3   1   7   5   8   2   9   5   4  14   7  10  14  18  26  24  34  35  38  39  42  39  41  44  44  42  47  49  47  48  49 
32 124   1   2   2   4   1   4   2   6   7   9  11  15  14  12  19  15  18  27  22  29  28  32  37  34  44  43  41  47  46  45  44  45 
32 101   0   2   0   3   3   4   4   9  10  11   7  16  16  25  22  23  29  28  30  32  30  35  39  46  44  44  46  46  47  47  49  49 
32 119   4   3   2   6  10  12  10  12  16   9  14  17  16  22  16  24  29  29  29  27  34  41  41  36  39  42  48  47  47  48  50  49 
32  98   1   1   1   0   2   1   0   1   3   3   5   6   4   3  12  12  13   6  17  19  27  19  20  23  28  27  37  30  40  38  44  38 
32 104   0   2   1   0   3   2   1   4   6  14  13  14   9  20  25  21  29  27  30  32  38  36  36  45  40  45  46  50  46  47  50  46 
32 106   0   2   1   7   3   3  14   6   9  15   9  15  20  20  20  25  22  24  24  27  29  28  33  34  41  41  36  45  37  43  47  47 
32  98   1   1   2   0   2   4   2   2   3   5   6   6   7   8  16  18  17  20  27  35  21  29  36  32  37  42  46  40  46  47  43  47 
32 101   0   0   0   0   2   0   2   0   5   5   3   8   7   6   8  10  13  16  25  24  22  18  30  26  29  36  37  36  44  38  40  48 
32  95   0   0   4   0   1   7   2   7   4   9   5   6  12  15  20  24  24  25  34  26  35  33  40  41  43  44  42  47  45  50  50  49 
32  96   0   3   1   6   5  11  10   9  11  16  15  19  15  16  24  25  29  33  41  40  40  41  43  43  45  44  48  45  48  46  50  50 
32  92   0   1   1   1   1   3   1   6   2   4   7   8  14  15   9  12  16  15  21  21  30  27  40  37  37  35  44  40  45  47  45  44 
32 101   1   3   3   1   1   2   4   2   2   8   8   9   9  18   8  18  21  22  27  21  24  28  29  28  32  39  40  37  39  43  47  41 
32 103   0   0   2   1   4   5   5   5   9  12  12  11  17  23  18  27  24  21  28  32  34  33  37  37  41  45  44  46  47  47  49  50 
32  87   1   2   1   0   2   2  11   8   6   9   6   8  13  18  19  24  24  18  20  30  36  25  36  35  40  41  46  46  47  43  46  48 
32  91   1   1   0   0   0   4   3   4   5   6   2  10   5  18  12  11  20  24  22  21  24  35  41  37  45  41  42  47  45  50  47  48 
32  90   0   0   0   2   1   1   3   4   2  10   7  11  11  17  23  19  18  29  27  28  38  32  34  46  39  39  44  43  42  48  47  49 
32  95   5   4   4   8   8  10   8  18  14  15  21  19  24  25  29  32  37  33  45  42  41  42  44  45  48  46  46  50  47  49  50  49 
32 115   2   2   3   6   2   2   3   4   2   7  10   8  12  13  16  13  20  15  20  26  23  20  19  28  21  28  32  40  40  41  38  42 
32  88   1   0   0   1   0   1   4   2   2   3   6   7   8  10  13  12  17  20  20  26  29  25  26  38  36  37  41  43  47  43  49  45 
32  88   0   0   1   0   1   2   2   1   2   8   8  13   7  14  20  20  15  16  23  23  33  25  34  34  41  42  42  43  46  46  45  48 
32 113   6   5   3   4   9  10  12  12  12   8  13  19  20  15  25  24  24  23  24  33  28  34  32  36  35  38  37  41  45  46  43  49 
32  91   0   0   1   2   4   1   2   2   5   4   6   6   8  10   5  12  16  16  15  18  22  24  32  39  36  37  44  34  42  43  43  42 
32  88   0   0   0   0   0   0   1   2   1   2   4   4   6   4   4   4   9  15  13  20  17  24  24  19  31  34  34  35  36  41  41  39 
32  99   0   1   0   1   4   3   1   6   5   3   7  11   3  13  21  16  22  25  23  29  25  34  30  41  42  41  49  44  46  47  50  49 
32 130   2   1   3   2   6   8   7  10   4   9   6  10  15  19  18  24  27  29  33  32  30  36  38  32  36  41  45  42  45  47  48  49 
32 116   6   0   5   3   3   6   5  12  15  14  14   6  14  16  19  24  25  28  34  35  35  32  32  31  36  44  39  41  46  46  45  49 
32 119   4   1   5   7   9   8  13  11   9  12   9  14  17  15  24  26  22  25  25  36  35  22  33  26  33  39  39  43  45  43  46  47 
32 107   1   2   2   1   2   4   7   6   8  10  12  12  13  20  14  12  18  14  16  26  30  24  31  33  37  37  43  38  41  40  41  38 
32  96   1   1   0   3   4   4   3   6   0   3   5   5  10   5  16  12  18  17  30  29  28  31  31  36  36  35  43  42  43  42  45  46 
