Pulse heights for the following Vcal values:
Low range:  50 100 150 200 250 
High range:  30  50  70  90 200 

 -228  -110   -30    48   142    40   316   597   850  1512    Pix  0  0
  N/A  -133   -54    23   116    26   292   563   820  1494    Pix  0  1
  N/A  -122   -21    57   140    48   321   620   877  1493    Pix  0  2
 -224  -119   -35    38   135    43   304   578   825  1505    Pix  0  3
  N/A  -140   -45    28   117    28   289   560   816  1492    Pix  0  4
  N/A  -138   -47    30   142    29   319   617   877  1492    Pix  0  5
  N/A   -94    -8    72   156    49   336   606   875  1519    Pix  0  6
 -236  -117   -23    54   142    51   316   606   858  1502    Pix  0  7
  N/A  -129   -52    32   118    31   296   558   807  1484    Pix  0  8
  N/A  -125   -44    31   120    32   286   560   808  1494    Pix  0  9
  N/A  -140   -55    14   112    20   277   550   803  1483    Pix  0 10
  N/A  -155   -81     1    74    -2   254   513   762  1458    Pix  0 11
  N/A  -144   -58     0   101    -1   256   534   791  1490    Pix  0 12
  N/A  -150   -75     5   102    13   275   542   794  1480    Pix  0 13
  N/A  -131   -36    40   134    54   323   606   873  1481    Pix  0 14
  N/A  -130   -35    32   136    44   308   593   839  1495    Pix  0 15
  N/A  -146   -69    18    98     5   269   530   796  1474    Pix  0 16
  N/A  -140   -55    35   119    26   280   566   823  1470    Pix  0 17
  N/A  -140   -59    14    98    11   262   540   782  1484    Pix  0 18
  N/A  -137   -49    26   122    16   302   598   857  1484    Pix  0 19
  N/A  -166   -87    -6    70   -18   242   508   749  1451    Pix  0 20
 -264  -151   -59    20   112     8   302   571   834  1490    Pix  0 21
  N/A  -158   -67    19   112    20   288   576   829  1479    Pix  0 22
  N/A  -159   -75    -1    84    -7   255   533   768  1457    Pix  0 23
  N/A  -132   -55     9   103    10   270   544   782  1492    Pix  0 24
  N/A  -162   -65     1   100    10   267   540   802  1473    Pix  0 25
  N/A  -174   -90   -13    67    -8   235   496   745  1450    Pix  0 26
  N/A  -123   -26    60   157    60   331   614   874  1501    Pix  0 27
 -272  -158   -66     1    96     8   264   537   779  1471    Pix  0 28
