Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
+1.602861e-03 +6.711149e-01 +1.158400e+03 +3.721119e+02     Pix  0 71
+1.550680e-03 +7.243372e-01 +1.141028e+03 +4.268099e+02     Pix  0 72
+1.744187e-03 +7.374032e-01 +1.118767e+03 +4.157911e+02     Pix  0 73
+1.613339e-03 +6.282909e-01 +1.187250e+03 +3.504475e+02     Pix  0 74
+1.592915e-03 +6.850963e-01 +1.160264e+03 +4.035241e+02     Pix  0 75
+1.582206e-03 +7.312893e-01 +1.134660e+03 +4.162557e+02     Pix  0 76
+1.394484e-03 +5.336449e-01 +1.292375e+03 +2.817353e+02     Pix  0 77
+1.601067e-03 +6.711374e-01 +1.167102e+03 +4.056704e+02     Pix  0 78
+1.438944e-03 +7.090757e-01 +1.160549e+03 +4.351957e+02     Pix  0 79
+1.875526e-03 +7.524546e-01 +1.121952e+03 +4.437125e+02     Pix  1  0
+1.993292e-03 +8.074309e-01 +1.074871e+03 +4.787632e+02     Pix  1  1
+2.088492e-03 +8.144273e-01 +1.056924e+03 +4.830160e+02     Pix  1  2
+2.059090e-03 +8.149258e-01 +1.074406e+03 +4.877424e+02     Pix  1  3
+1.973700e-03 +8.231592e-01 +1.072036e+03 +4.794426e+02     Pix  1  4
+1.806068e-03 +7.326762e-01 +1.123515e+03 +4.278423e+02     Pix  1  5
+2.079604e-03 +8.155311e-01 +1.068549e+03 +4.974553e+02     Pix  1  6
+1.953320e-03 +8.159400e-01 +1.075948e+03 +4.837903e+02     Pix  1  7
+1.910464e-03 +7.879606e-01 +1.094627e+03 +4.469614e+02     Pix  1  8
+1.967083e-03 +7.949755e-01 +1.084216e+03 +4.811138e+02     Pix  1  9
+2.143488e-03 +8.452644e-01 +1.057319e+03 +4.793916e+02     Pix  1 10
+1.997228e-03 +7.489645e-01 +1.097920e+03 +4.355701e+02     Pix  1 11
+1.804529e-03 +7.251067e-01 +1.133666e+03 +4.335251e+02     Pix  1 12
+2.001371e-03 +7.676652e-01 +1.100380e+03 +4.407902e+02     Pix  1 13
+2.162952e-03 +8.689197e-01 +1.035932e+03 +4.860203e+02     Pix  1 14
+1.920238e-03 +7.410613e-01 +1.120719e+03 +4.330583e+02     Pix  1 15
+1.865880e-03 +7.713644e-01 +1.106915e+03 +4.325298e+02     Pix  1 16
+2.158247e-03 +8.618319e-01 +1.037726e+03 +4.780077e+02     Pix  1 17
+1.838935e-03 +7.606235e-01 +1.120755e+03 +4.421797e+02     Pix  1 18
+1.984356e-03 +7.652438e-01 +1.087571e+03 +4.526536e+02     Pix  1 19
+2.008772e-03 +7.939406e-01 +1.078126e+03 +4.474117e+02     Pix  1 20
+1.983812e-03 +7.746893e-01 +1.090075e+03 +4.600892e+02     Pix  1 21
+1.943928e-03 +7.602994e-01 +1.105239e+03 +4.339106e+02     Pix  1 22
+1.995749e-03 +7.836542e-01 +1.086587e+03 +4.408184e+02     Pix  1 23
+1.903924e-03 +7.615478e-01 +1.102527e+03 +4.494553e+02     Pix  1 24
+2.127809e-03 +8.230104e-01 +1.056259e+03 +4.771501e+02     Pix  1 25
+1.918973e-03 +7.677872e-01 +1.087020e+03 +4.408890e+02     Pix  1 26
+1.872446e-03 +7.827176e-01 +1.105042e+03 +4.446206e+02     Pix  1 27
+1.874032e-03 +7.660651e-01 +1.099476e+03 +4.365827e+02     Pix  1 28
+2.014460e-03 +7.625101e-01 +1.094163e+03 +4.290682e+02     Pix  1 29
+2.013746e-03 +7.947338e-01 +1.078346e+03 +4.726604e+02     Pix  1 30
+1.883169e-03 +7.488945e-01 +1.119018e+03 +4.202418e+02     Pix  1 31
+1.947598e-03 +7.665683e-01 +1.092264e+03 +4.352382e+02     Pix  1 32
+1.982842e-03 +7.574553e-01 +1.105575e+03 +4.418087e+02     Pix  1 33
+1.944646e-03 +7.278575e-01 +1.109651e+03 +4.246446e+02     Pix  1 34
+1.924417e-03 +7.449958e-01 +1.100278e+03 +4.254092e+02     Pix  1 35
+1.714989e-03 +6.884408e-01 +1.160903e+03 +4.022095e+02     Pix  1 36
+1.973630e-03 +7.713045e-01 +1.087838e+03 +4.460927e+02     Pix  1 37
+2.047621e-03 +7.535658e-01 +1.095171e+03 +4.264355e+02     Pix  1 38
+1.960608e-03 +8.124918e-01 +1.088252e+03 +4.545428e+02     Pix  1 39
+2.066976e-03 +7.667304e-01 +1.089607e+03 +4.432197e+02     Pix  1 40
+2.119557e-03 +7.805837e-01 +1.088309e+03 +4.248908e+02     Pix  1 41
+1.863564e-03 +6.806457e-01 +1.141304e+03 +4.108945e+02     Pix  1 42
+2.058770e-03 +7.673349e-01 +1.098294e+03 +4.323388e+02     Pix  1 43
+1.852800e-03 +7.722418e-01 +1.101595e+03 +4.225735e+02     Pix  1 44
+1.976448e-03 +7.725272e-01 +1.097136e+03 +4.386653e+02     Pix  1 45
+2.122649e-03 +7.974111e-01 +1.083620e+03 +4.331749e+02     Pix  1 46
+2.070459e-03 +7.899943e-01 +1.083192e+03 +4.214402e+02     Pix  1 47
+1.807277e-03 +7.280581e-01 +1.137934e+03 +4.013528e+02     Pix  1 48
+1.861514e-03 +7.329170e-01 +1.110192e+03 +4.250800e+02     Pix  1 49
+2.037080e-03 +7.989305e-01 +1.090239e+03 +4.191975e+02     Pix  1 50
+1.838311e-03 +7.435842e-01 +1.120755e+03 +4.184278e+02     Pix  1 51
+1.722478e-03 +7.068169e-01 +1.144668e+03 +3.904103e+02     Pix  1 52
+1.919648e-03 +6.993133e-01 +1.135880e+03 +3.739503e+02     Pix  1 53
+1.844574e-03 +7.182261e-01 +1.128561e+03 +4.134164e+02     Pix  1 54
+2.190087e-03 +8.343557e-01 +1.058919e+03 +4.616775e+02     Pix  1 55
+1.679289e-03 +6.419298e-01 +1.186603e+03 +3.453549e+02     Pix  1 56
+1.815258e-03 +7.236809e-01 +1.125283e+03 +4.235549e+02     Pix  1 57
+2.073915e-03 +7.963894e-01 +1.076541e+03 +4.411647e+02     Pix  1 58
+1.774551e-03 +7.296156e-01 +1.135561e+03 +3.803559e+02     Pix  1 59
+1.740886e-03 +7.234175e-01 +1.141971e+03 +4.047816e+02     Pix  1 60
+1.823165e-03 +7.250286e-01 +1.129980e+03 +3.947776e+02     Pix  1 61
+1.825901e-03 +6.988553e-01 +1.131807e+03 +3.799111e+02     Pix  1 62
+1.934594e-03 +7.540466e-01 +1.108923e+03 +4.236682e+02     Pix  1 63
+1.938479e-03 +7.348552e-01 +1.113114e+03 +4.084012e+02     Pix  1 64
+1.849250e-03 +7.684401e-01 +1.103646e+03 +3.959280e+02     Pix  1 65
+1.699543e-03 +6.983858e-01 +1.157983e+03 +3.875196e+02     Pix  1 66
+1.853052e-03 +7.034814e-01 +1.135446e+03 +3.952309e+02     Pix  1 67
+1.914562e-03 +7.001388e-01 +1.121228e+03 +4.077625e+02     Pix  1 68
+1.675680e-03 +7.299338e-01 +1.148268e+03 +3.889248e+02     Pix  1 69
+1.727350e-03 +6.897129e-01 +1.163968e+03 +3.639893e+02     Pix  1 70
+1.904059e-03 +7.713061e-01 +1.095486e+03 +4.220727e+02     Pix  1 71
+1.733180e-03 +6.925115e-01 +1.159776e+03 +3.923429e+02     Pix  1 72
+1.632815e-03 +6.596370e-01 +1.189876e+03 +3.546722e+02     Pix  1 73
+1.734361e-03 +7.229739e-01 +1.133497e+03 +3.927734e+02     Pix  1 74
+1.682255e-03 +7.224565e-01 +1.158156e+03 +3.989417e+02     Pix  1 75
+1.663388e-03 +6.652709e-01 +1.185110e+03 +3.638178e+02     Pix  1 76
+1.737933e-03 +7.272093e-01 +1.146048e+03 +3.729138e+02     Pix  1 77
+1.723590e-03 +7.091355e-01 +1.157872e+03 +3.961474e+02     Pix  1 78
+1.483357e-03 +6.807957e-01 +1.182601e+03 +4.008036e+02     Pix  1 79
+1.901995e-03 +8.397696e-01 +1.093995e+03 +4.427114e+02     Pix  2  0
+2.113332e-03 +8.169248e-01 +1.093995e+03 +4.105495e+02     Pix  2  1
+1.966724e-03 +7.863702e-01 +1.101967e+03 +3.965286e+02     Pix  2  2
+2.007588e-03 +7.730752e-01 +1.100762e+03 +4.319250e+02     Pix  2  3
+1.982459e-03 +7.997155e-01 +1.098225e+03 +4.145370e+02     Pix  2  4
+2.001612e-03 +8.114959e-01 +1.090530e+03 +4.046627e+02     Pix  2  5
+1.827662e-03 +7.316759e-01 +1.155892e+03 +3.863925e+02     Pix  2  6
+2.019495e-03 +8.080086e-01 +1.102237e+03 +4.048799e+02     Pix  2  7
+1.987680e-03 +7.979857e-01 +1.099250e+03 +4.038806e+02     Pix  2  8
+1.923129e-03 +7.308822e-01 +1.139547e+03 +3.896332e+02     Pix  2  9
+1.999516e-03 +7.473512e-01 +1.123771e+03 +3.810674e+02     Pix  2 10
+1.936690e-03 +7.565157e-01 +1.115544e+03 +3.785195e+02     Pix  2 11
+1.844762e-03 +7.513022e-01 +1.132296e+03 +3.943555e+02     Pix  2 12
+2.042133e-03 +6.946574e-01 +1.166134e+03 +3.358545e+02     Pix  2 13
+1.896566e-03 +7.209259e-01 +1.140936e+03 +3.518832e+02     Pix  2 14
