-427 -252 0 156 308 703
-210 -314 -18 154 326 488 638 867
-216 -314 -24 140 302 456 602 849
-214 -316 -16 154 322 482 630 863
-204 -304 -2 170 340 498 646 871
-208 -310 -8 164 334 494 644 871
-204 -306 0 172 342 504 656 877
-190 -294 22 196 368 532 686 893
-202 -304 6 178 346 506 658 879
-210 -312 -8 166 338 500 650 873
-204 -306 -6 164 334 494 642 869
-208 -310 -8 164 334 494 642 869
-216 -314 -20 146 310 468 620 859
-204 -306 0 170 338 500 650 873
-210 -312 -8 162 330 492 642 869
-196 -298 16 190 362 524 676 887
-212 -310 -12 152 316 474 624 861
