 8   Pix  0  0
 6   Pix  0  1
 5   Pix  0  2
 2   Pix  0  3
 8   Pix  0  4
 5   Pix  0  5
12   Pix  0  6
 7   Pix  0  7
 3   Pix  0  8
 8   Pix  0  9
 8   Pix  0 10
 9   Pix  0 11
 6   Pix  0 12
 6   Pix  0 13
 9   Pix  0 14
 4   Pix  0 15
 5   Pix  0 16
 9   Pix  0 17
 6   Pix  0 18
 7   Pix  0 19
 9   Pix  0 20
 7   Pix  0 21
12   Pix  0 22
 7   Pix  0 23
 5   Pix  0 24
 7   Pix  0 25
 7   Pix  0 26
 9   Pix  0 27
 9   Pix  0 28
 8   Pix  0 29
10   Pix  0 30
 7   Pix  0 31
 9   Pix  0 32
 6   Pix  0 33
 7   Pix  0 34
 9   Pix  0 35
 6   Pix  0 36
 8   Pix  0 37
 8   Pix  0 38
 6   Pix  0 39
 8   Pix  0 40
 5   Pix  0 41
 8   Pix  0 42
 5   Pix  0 43
 7   Pix  0 44
 9   Pix  0 45
 8   Pix  0 46
 5   Pix  0 47
 9   Pix  0 48
 9   Pix  0 49
 6   Pix  0 50
 9   Pix  0 51
 7   Pix  0 52
 6   Pix  0 53
 9   Pix  0 54
10   Pix  0 55
 9   Pix  0 56
 7   Pix  0 57
 8   Pix  0 58
 5   Pix  0 59
 6   Pix  0 60
 7   Pix  0 61
 9   Pix  0 62
 9   Pix  0 63
 7   Pix  0 64
 7   Pix  0 65
 8   Pix  0 66
 5   Pix  0 67
 9   Pix  0 68
 5   Pix  0 69
 5   Pix  0 70
 6   Pix  0 71
 7   Pix  0 72
 8   Pix  0 73
 7   Pix  0 74
 6   Pix  0 75
 8   Pix  0 76
 7   Pix  0 77
 9   Pix  0 78
 3   Pix  0 79
 8   Pix  1  0
 8   Pix  1  1
 7   Pix  1  2
 6   Pix  1  3
12   Pix  1  4
 9   Pix  1  5
 8   Pix  1  6
 9   Pix  1  7
 7   Pix  1  8
 8   Pix  1  9
 5   Pix  1 10
 5   Pix  1 11
 9   Pix  1 12
 8   Pix  1 13
 8   Pix  1 14
 6   Pix  1 15
 8   Pix  1 16
 7   Pix  1 17
 9   Pix  1 18
 7   Pix  1 19
 8   Pix  1 20
 8   Pix  1 21
11   Pix  1 22
 7   Pix  1 23
 7   Pix  1 24
 6   Pix  1 25
 8   Pix  1 26
 8   Pix  1 27
 9   Pix  1 28
 6   Pix  1 29
10   Pix  1 30
 9   Pix  1 31
 8   Pix  1 32
 7   Pix  1 33
11   Pix  1 34
 7   Pix  1 35
11   Pix  1 36
 8   Pix  1 37
 9   Pix  1 38
11   Pix  1 39
10   Pix  1 40
11   Pix  1 41
10   Pix  1 42
 9   Pix  1 43
 5   Pix  1 44
10   Pix  1 45
12   Pix  1 46
11   Pix  1 47
 9   Pix  1 48
 9   Pix  1 49
12   Pix  1 50
 7   Pix  1 51
 7   Pix  1 52
 6   Pix  1 53
12   Pix  1 54
 9   Pix  1 55
11   Pix  1 56
10   Pix  1 57
11   Pix  1 58
 7   Pix  1 59
10   Pix  1 60
 8   Pix  1 61
 9   Pix  1 62
 8   Pix  1 63
 9   Pix  1 64
 8   Pix  1 65
 9   Pix  1 66
10   Pix  1 67
 7   Pix  1 68
 7   Pix  1 69
11   Pix  1 70
 7   Pix  1 71
 7   Pix  1 72
 9   Pix  1 73
 7   Pix  1 74
 5   Pix  1 75
 4   Pix  1 76
 9   Pix  1 77
10   Pix  1 78
 5   Pix  1 79
 5   Pix  2  0
 9   Pix  2  1
 9   Pix  2  2
 7   Pix  2  3
 4   Pix  2  4
 8   Pix  2  5
 8   Pix  2  6
 6   Pix  2  7
 9   Pix  2  8
 6   Pix  2  9
 5   Pix  2 10
 8   Pix  2 11
 9   Pix  2 12
 5   Pix  2 13
10   Pix  2 14
 9   Pix  2 15
 8   Pix  2 16
 8   Pix  2 17
 7   Pix  2 18
 7   Pix  2 19
10   Pix  2 20
11   Pix  2 21
 9   Pix  2 22
 9   Pix  2 23
 5   Pix  2 24
 7   Pix  2 25
11   Pix  2 26
 9   Pix  2 27
 9   Pix  2 28
 9   Pix  2 29
 8   Pix  2 30
10   Pix  2 31
 7   Pix  2 32
 5   Pix  2 33
 7   Pix  2 34
 9   Pix  2 35
11   Pix  2 36
 8   Pix  2 37
 7   Pix  2 38
 5   Pix  2 39
 8   Pix  2 40
 7   Pix  2 41
 7   Pix  2 42
 7   Pix  2 43
10   Pix  2 44
 8   Pix  2 45
10   Pix  2 46
 9   Pix  2 47
10   Pix  2 48
 7   Pix  2 49
 9   Pix  2 50
10   Pix  2 51
12   Pix  2 52
 9   Pix  2 53
 7   Pix  2 54
10   Pix  2 55
 7   Pix  2 56
10   Pix  2 57
 9   Pix  2 58
11   Pix  2 59
 9   Pix  2 60
 7   Pix  2 61
 9   Pix  2 62
 7   Pix  2 63
