Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
+3.686292e-03 +1.138563e+00 +6.202248e+02 +2.964493e+01     Pix  0 71
+3.678498e-03 +1.123632e+00 +6.178195e+02 +4.422801e+01     Pix  0 72
+3.806505e-03 +1.155253e+00 +6.178586e+02 +4.104744e+01     Pix  0 73
+3.707138e-03 +1.126775e+00 +6.117646e+02 +4.210796e+01     Pix  0 74
+3.726814e-03 +1.121449e+00 +6.189789e+02 +4.241337e+01     Pix  0 75
+3.720101e-03 +1.137469e+00 +6.156207e+02 +4.307412e+01     Pix  0 76
+3.693896e-03 +1.139799e+00 +6.138121e+02 +3.910490e+01     Pix  0 77
+3.648366e-03 +1.117653e+00 +6.283948e+02 +3.340760e+01     Pix  0 78
+2.731352e-03 +1.070144e+00 +6.308941e+02 +2.341227e+01     Pix  0 79
+4.254231e-03 +1.216100e+00 +6.034532e+02 +6.664494e+01     Pix  1  0
+4.674040e-03 +1.204008e+00 +5.887319e+02 +8.075653e+01     Pix  1  1
+4.576839e-03 +1.168654e+00 +5.930713e+02 +7.525525e+01     Pix  1  2
+4.711309e-03 +1.194543e+00 +5.832181e+02 +8.854282e+01     Pix  1  3
+4.558480e-03 +1.198174e+00 +5.880243e+02 +8.006635e+01     Pix  1  4
+4.823383e-03 +1.155854e+00 +5.861331e+02 +8.114712e+01     Pix  1  5
+4.547023e-03 +1.196777e+00 +5.982335e+02 +7.504934e+01     Pix  1  6
+4.482654e-03 +1.188829e+00 +5.959240e+02 +7.499341e+01     Pix  1  7
+4.637818e-03 +1.152064e+00 +5.945684e+02 +7.633424e+01     Pix  1  8
+4.339570e-03 +1.182167e+00 +5.956635e+02 +6.628336e+01     Pix  1  9
+4.489402e-03 +1.216941e+00 +5.959075e+02 +6.314673e+01     Pix  1 10
+4.436809e-03 +1.171158e+00 +5.932526e+02 +6.661428e+01     Pix  1 11
+4.341132e-03 +1.156063e+00 +5.993735e+02 +6.850926e+01     Pix  1 12
+4.484722e-03 +1.160376e+00 +5.910272e+02 +7.263423e+01     Pix  1 13
+4.519634e-03 +1.193657e+00 +5.841194e+02 +8.198478e+01     Pix  1 14
+4.610882e-03 +1.203346e+00 +5.911680e+02 +7.060052e+01     Pix  1 15
+4.526730e-03 +1.159827e+00 +5.912183e+02 +6.895092e+01     Pix  1 16
+4.384982e-03 +1.198844e+00 +5.938514e+02 +6.649718e+01     Pix  1 17
+4.577390e-03 +1.175952e+00 +5.883443e+02 +7.461004e+01     Pix  1 18
+4.494791e-03 +1.191102e+00 +5.962720e+02 +6.581341e+01     Pix  1 19
+4.503796e-03 +1.195831e+00 +5.916519e+02 +7.190797e+01     Pix  1 20
+4.415791e-03 +1.146574e+00 +5.937789e+02 +7.294677e+01     Pix  1 21
+4.538343e-03 +1.164352e+00 +5.902028e+02 +7.331199e+01     Pix  1 22
+4.345077e-03 +1.172391e+00 +5.968167e+02 +6.435736e+01     Pix  1 23
+4.311645e-03 +1.161498e+00 +6.037694e+02 +6.318215e+01     Pix  1 24
+4.378191e-03 +1.178530e+00 +5.977631e+02 +6.514267e+01     Pix  1 25
+4.465839e-03 +1.201435e+00 +5.964933e+02 +6.728870e+01     Pix  1 26
+4.413060e-03 +1.146893e+00 +6.032729e+02 +6.142879e+01     Pix  1 27
+4.447498e-03 +1.190905e+00 +5.979571e+02 +6.448319e+01     Pix  1 28
+4.302730e-03 +1.184700e+00 +6.018759e+02 +6.149421e+01     Pix  1 29
+4.374171e-03 +1.148452e+00 +5.984034e+02 +6.750707e+01     Pix  1 30
+4.532498e-03 +1.177539e+00 +5.911501e+02 +7.123934e+01     Pix  1 31
+4.301494e-03 +1.156630e+00 +6.030430e+02 +6.116376e+01     Pix  1 32
+4.346206e-03 +1.174805e+00 +6.009040e+02 +6.088182e+01     Pix  1 33
+4.337900e-03 +1.186664e+00 +6.014633e+02 +5.761712e+01     Pix  1 34
+4.403316e-03 +1.168743e+00 +5.931390e+02 +6.876304e+01     Pix  1 35
+4.439474e-03 +1.188439e+00 +5.939450e+02 +6.991332e+01     Pix  1 36
+4.315061e-03 +1.153394e+00 +6.023466e+02 +6.001294e+01     Pix  1 37
+4.313115e-03 +1.164716e+00 +6.040615e+02 +5.636811e+01     Pix  1 38
+4.365856e-03 +1.165220e+00 +6.017546e+02 +6.249791e+01     Pix  1 39
+4.287245e-03 +1.177325e+00 +6.019796e+02 +6.100042e+01     Pix  1 40
+4.209861e-03 +1.170980e+00 +6.064127e+02 +5.231070e+01     Pix  1 41
+4.396191e-03 +1.170748e+00 +5.999687e+02 +6.687627e+01     Pix  1 42
+4.135569e-03 +1.188560e+00 +6.098767e+02 +5.460457e+01     Pix  1 43
+4.256696e-03 +1.176015e+00 +6.012004e+02 +6.232434e+01     Pix  1 44
+4.421977e-03 +1.159864e+00 +5.972492e+02 +6.236878e+01     Pix  1 45
+4.313211e-03 +1.167677e+00 +5.961321e+02 +6.199647e+01     Pix  1 46
+4.494127e-03 +1.184221e+00 +5.901074e+02 +6.591725e+01     Pix  1 47
+4.428434e-03 +1.163669e+00 +5.954957e+02 +6.642398e+01     Pix  1 48
+4.318490e-03 +1.180098e+00 +5.988566e+02 +6.216741e+01     Pix  1 49
+4.316604e-03 +1.206615e+00 +6.032788e+02 +5.213762e+01     Pix  1 50
+4.281852e-03 +1.176159e+00 +6.039597e+02 +5.761409e+01     Pix  1 51
+4.266831e-03 +1.191982e+00 +6.058174e+02 +4.865585e+01     Pix  1 52
+4.353247e-03 +1.166841e+00 +5.968132e+02 +5.697892e+01     Pix  1 53
+4.306796e-03 +1.206646e+00 +6.070561e+02 +5.091705e+01     Pix  1 54
+4.355170e-03 +1.205073e+00 +5.964265e+02 +6.251265e+01     Pix  1 55
+4.270012e-03 +1.172006e+00 +6.075384e+02 +5.157855e+01     Pix  1 56
+4.257354e-03 +1.188441e+00 +6.022626e+02 +5.691200e+01     Pix  1 57
+4.203859e-03 +1.153750e+00 +6.128321e+02 +4.540709e+01     Pix  1 58
+4.276543e-03 +1.135510e+00 +6.059936e+02 +5.222499e+01     Pix  1 59
+4.224156e-03 +1.153820e+00 +6.098734e+02 +5.400147e+01     Pix  1 60
+4.257359e-03 +1.168991e+00 +6.001222e+02 +5.993160e+01     Pix  1 61
+4.210197e-03 +1.185756e+00 +6.061689e+02 +5.204726e+01     Pix  1 62
+4.256263e-03 +1.197505e+00 +6.080870e+02 +4.760782e+01     Pix  1 63
+4.234666e-03 +1.157660e+00 +6.089414e+02 +4.731481e+01     Pix  1 64
+4.244342e-03 +1.191325e+00 +6.006757e+02 +5.328628e+01     Pix  1 65
+4.297944e-03 +1.181482e+00 +6.123446e+02 +4.797842e+01     Pix  1 66
+4.240856e-03 +1.198441e+00 +6.066526e+02 +5.200909e+01     Pix  1 67
+4.193429e-03 +1.194749e+00 +6.073027e+02 +5.007900e+01     Pix  1 68
+4.303497e-03 +1.186067e+00 +6.044883e+02 +5.182124e+01     Pix  1 69
+4.206963e-03 +1.173368e+00 +6.124043e+02 +4.288780e+01     Pix  1 70
+4.216437e-03 +1.160918e+00 +6.042700e+02 +5.156064e+01     Pix  1 71
+4.081562e-03 +1.141773e+00 +6.184354e+02 +4.147895e+01     Pix  1 72
+4.113993e-03 +1.116675e+00 +6.220633e+02 +4.039779e+01     Pix  1 73
+4.077469e-03 +1.146438e+00 +6.178974e+02 +4.248130e+01     Pix  1 74
+4.157408e-03 +1.137607e+00 +6.175401e+02 +4.674123e+01     Pix  1 75
+4.133367e-03 +1.184123e+00 +6.117892e+02 +4.752311e+01     Pix  1 76
+4.154466e-03 +1.100008e+00 +6.226475e+02 +3.777627e+01     Pix  1 77
+4.070158e-03 +1.143502e+00 +6.213349e+02 +4.205572e+01     Pix  1 78
+3.152293e-03 +1.052729e+00 +6.270898e+02 +3.470034e+01     Pix  1 79
+4.399140e-03 +1.195963e+00 +5.931590e+02 +7.083162e+01     Pix  2  0
+4.499238e-03 +1.203322e+00 +5.897739e+02 +7.342491e+01     Pix  2  1
+4.432572e-03 +1.190746e+00 +5.994985e+02 +5.886937e+01     Pix  2  2
+4.396633e-03 +1.205195e+00 +6.037669e+02 +6.506630e+01     Pix  2  3
+4.592082e-03 +1.174208e+00 +5.895887e+02 +7.195479e+01     Pix  2  4
+4.424444e-03 +1.171503e+00 +5.993406e+02 +6.222229e+01     Pix  2  5
+4.286063e-03 +1.156868e+00 +6.150007e+02 +5.262574e+01     Pix  2  6
+4.493528e-03 +1.171121e+00 +5.974260e+02 +6.598557e+01     Pix  2  7
+4.448397e-03 +1.175018e+00 +5.952040e+02 +6.605335e+01     Pix  2  8
+4.489759e-03 +1.152504e+00 +5.967733e+02 +6.254105e+01     Pix  2  9
+4.415218e-03 +1.232420e+00 +5.928628e+02 +6.133245e+01     Pix  2 10
+4.423351e-03 +1.177517e+00 +6.014837e+02 +4.935450e+01     Pix  2 11
+4.373462e-03 +1.167073e+00 +6.001338e+02 +6.309241e+01     Pix  2 12
+4.405843e-03 +1.174179e+00 +5.989972e+02 +5.470592e+01     Pix  2 13
+4.285224e-03 +1.152649e+00 +6.059425e+02 +4.731629e+01     Pix  2 14
